Record_ID,Date,Country,City,Temperature,Humidity,Precipitation,Air_Quality_Index,Extreme_Weather_Events,Climate_Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
aus_1,2024-01-01,Australia,Sydney,20.3,41,127.1,207,None,Koeppen-B,Arid,Wetland,22.4,18.3,W,Winter,8549476,34039796,9
aus_10,2024-01-10,Australia,Sydney,17.9,68,155.5,84,None,Koeppen-B,Arid,Tundra,21.3,29.6,SE,Winter,8166878,50620627,10
aus_100,2024-04-09,Australia,Sydney,18.4,71,177.1,185,None,Koeppen-B,Arid,Desert,21.9,12.2,SW,Spring,8791432,26001877,3
aus_1000,2024-09-25,Australia,Melbourne,6.9,91,94.6,379,None,Koeppen-C,Arid,Forest,11.4,37,N,Autumn,4801833,20135263,5
aus_1001,2024-09-26,Australia,Melbourne,29.3,14,12.7,108,None,Koeppen-A,Arid,Tundra,30,27.6,SW,Autumn,8449745,34885209,5
aus_1002,2024-09-27,Australia,Melbourne,6.4,68,91.1,232,None,Koeppen-C,Arid,Desert,9.8,14.9,E,Autumn,1341239,51242930,5
aus_1003,2024-09-28,Australia,Melbourne,28.6,43,132.9,165,None,Koeppen-D,Arid,Wetland,30.8,19.5,E,Autumn,5647240,71203321,5
aus_1004,2024-09-29,Australia,Melbourne,34.6,97,59.3,163,Flood,Koeppen-B,Arid,Forest,39.5,12.7,S,Autumn,3530242,52893993,8
aus_1005,2024-09-30,Australia,Melbourne,38.9,31,174.4,321,None,Koeppen-A,Arid,Grassland,40.4,35.6,E,Autumn,1308827,25435260,6
aus_1006,2024-10-01,Australia,Melbourne,-2,84,57.9,498,None,Koeppen-C,Arid,Desert,2.2,13,NW,Autumn,6966190,65470527,3
aus_1007,2024-10-02,Australia,Melbourne,7.1,43,162.2,371,None,Koeppen-B,Arid,Desert,9.2,19.7,W,Autumn,3799018,17759219,1
aus_1008,2024-10-03,Australia,Melbourne,16.4,56,156.7,164,None,Koeppen-A,Arid,Forest,19.2,38.3,NW,Autumn,4049952,93674460,7
aus_1009,2024-10-04,Australia,Melbourne,17.7,21,95.5,412,None,Koeppen-D,Arid,Desert,18.8,7.2,E,Autumn,514025,73186781,6
aus_101,2024-04-10,Australia,Sydney,10.7,38,115.1,208,None,Koeppen-A,Arid,Grassland,12.6,30.1,W,Spring,5088149,91742530,5
aus_1010,2024-10-05,Australia,Melbourne,33.2,78,17.8,213,Heatwave,Koeppen-C,Arid,Desert,37.1,33.3,SW,Autumn,9489569,2900873,1
aus_1011,2024-10-06,Australia,Melbourne,-2.3,80,161.3,247,None,Koeppen-D,Arid,Grassland,1.7,4.5,NE,Autumn,4244296,29049840,1
aus_1012,2024-10-07,Australia,Melbourne,-0.7,25,90.8,269,None,Koeppen-A,Arid,Wetland,0.6,32.3,SE,Autumn,4592684,36978897,5
aus_1013,2024-10-08,Australia,Melbourne,39.5,37,13.1,291,None,Koeppen-C,Arid,Forest,41.4,16.4,SW,Autumn,3647118,69347778,2
aus_1014,2024-10-09,Australia,Melbourne,14.8,77,10,255,None,Koeppen-D,Arid,Tundra,18.7,9.8,SW,Autumn,5440540,93305471,9
aus_1015,2024-10-10,Australia,Melbourne,17.9,83,172.7,427,None,Koeppen-D,Arid,Wetland,22,22.9,S,Autumn,1658361,23644784,4
aus_1016,2024-10-11,Australia,Melbourne,41.5,28,75.3,467,None,Koeppen-C,Arid,Tundra,42.9,2.1,NW,Autumn,6411894,31207642,6
